,,,Goalies,,,,,,,,,
Aaron Dell,SJ,25,10,8,4,3.2,70,613,543,.886,2,"1,323"
Jonathan Bernier,DET,35,9,18,5,3.2,98,"1,025",927,.904,1,"1,860"
Ryan Miller,ANH,20,8,7,2,2.8,51,578,527,.912,1,"1,109"
Garret Sparks,VGK,20,8,9,1,3.2,58,592,534,.902,1,"1,105"
Malcolm Subban,CHI,21,8,10,2,3.0,60,612,552,.902,1,"1,227"
Antti Niemi,FA,17,8,6,2,3.8,61,539,478,.887,0,969
Adin Hill,ARI,13,7,5,0,2.8,32,322,290,.901,1,696
Alex Stalock,MIN,21,6,8,3,3.0,53,525,472,.899,0,"1,065"
Cory Schneider,NJ,26,6,13,4,3.1,70,718,648,.903,1,"1,372"
Collin Delia,CHI,16,6,4,3,3.6,50,545,495,.908,0,831
Antti Raanta,ARI,12,5,6,0,2.9,33,351,318,.906,0,687
Cal Petersen,LA,11,5,4,1,2.6,27,355,328,.924,1,622
Samuel Montembeault,FLA,11,4,3,2,3.1,30,282,252,.894,0,591
Anthony Stolarz,ANH,18,4,5,3,3.5,50,503,453,.901,1,868
Calvin Pickard,DET,17,4,6,2,3.9,48,384,336,.875,1,747
Thatcher Demko,VAN,9,4,3,1,2.8,25,288,263,.913,0,534
Michael Hutchinson,COL,9,3,4,2,3.3,27,239,212,.887,1,496
Chad Johnson,FA,19,2,11,0,3.7,49,406,357,.879,1,810
Edward Pasquale,FA,3,2,1,0,4.0,12,102,90,.882,0,182
Scott Darling,FA,8,2,4,2,3.4,27,233,206,.884,0,486
Mike McKenna,FA,11,1,5,1,4.0,34,316,282,.892,0,511
Michal Neuvirth,FA,7,1,4,1,4.3,26,184,158,.859,0,366
Alex Nedeljkovic,CAR,1,1,0,0,2.0,2,26,24,.923,0,60
Charlie Lindgren,MON,1,1,0,0,4.6,5,49,44,.898,0,65
Kevin Boyle,ANH,5,1,3,0,2.2,10,139,129,.928,1,277
Eric Comrie,WPG,1,0,1,0,5.1,5,28,23,.821,0,60
Pavel Francouz,COL,2,0,2,0,2.0,2,35,33,.943,0,61
Tristan Jarry,PIT,2,0,1,1,3.5,7,62,55,.887,0,120
Peter Budaj,FA,3,0,1,0,5.1,6,33,27,.818,0,72
Joey Daccord,OTT,1,0,1,0,5.0,5,40,35,.875,0,60
Marcus Hogberg,OTT,4,0,2,1,4.1,14,121,107,.884,0,206
Richard Bachman,VAN,1,0,1,0,6.0,6,29,23,.793,0,60
Max Lagace,BOS,1,0,1,0,4.1,4,31,27,.871,0,60
Landon Bow,DAL,2,0,0,0,1.0,1,19,18,.947,0,58
Christopher Gibson,NYI,2,0,0,0,1.5,1,17,16,.941,0,40
Kaden Fulcher,DET,1,0,0,0,4.4,2,11,9,.818,0,27
Mike Condon,TB,2,0,2,0,6.5,8,40,32,.800,0,75
Hunter Miska,COL,1,0,0,0,3.3,1,9,8,.889,0,18
Michael DiPietro,VAN,1,0,1,0,7.0,7,24,17,.708,0,60
Alex Lyon,PHI,2,0,1,0,5.1,6,31,25,.806,0,71
