,Season,Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
283,2016,Connor Hellebuyck,WPG,56,26,19,4,2.9,146,1572,1426,0.907,4,3034
284,2016,Thomas Greiss,NYI,51,26,18,5,2.7,126,1453,1327,0.9129999999999999,3,2813
285,2016,Brian Elliott,PHI,49,26,18,3,2.6,121,1338,1217,0.91,2,2844
286,2016,Cam Ward,FA,61,26,22,12,2.7,162,1711,1549,0.905,2,3618
287,2016,John Gibson,ANH,52,25,16,9,2.2,109,1437,1328,0.924,6,2950
288,2016,Craig Anderson,OTT,40,25,11,4,2.3,92,1247,1155,0.9259999999999999,5,2421
289,2016,Robin Lehner,VGK,59,23,26,8,2.7,152,1910,1758,0.92,2,3405
290,2016,Andrei Vasilevskiy,TB,50,23,17,7,2.6,123,1480,1357,0.917,2,2831
291,2016,Kari Lehtonen,FA,59,22,25,7,2.9,151,1546,1395,0.902,3,3177
292,2016,Jonathan Bernier,DET,39,21,7,4,2.5,83,982,899,0.915,2,1993
293,2016,Cory Schneider,NJ,60,20,27,11,2.8,163,1781,1618,0.9079999999999999,2,3473
294,2016,Mike Condon,TB,41,19,14,6,2.5,96,1122,1026,0.914,5,2324
295,2016,Mike Smith,EDM,55,19,26,9,2.9,156,1819,1663,0.914,3,3202
296,2016,Marc-Andre Fleury,VGK,38,18,10,7,3.0,107,1181,1074,0.909,1,2125
297,2016,Ryan Miller,ANH,54,18,29,6,2.8,150,1737,1587,0.914,3,3212
298,2016,Petr Mrazek,CAR,50,18,21,9,3.1,145,1462,1317,0.9009999999999999,1,2858
299,2016,Chad Johnson,FA,36,18,15,1,2.6,87,969,882,0.91,3,2013
300,2016,Ben Bishop,DAL,39,18,15,5,2.6,94,1040,946,0.91,1,2223
301,2016,James Reimer,CAR,43,18,16,5,2.5,98,1222,1124,0.92,3,2325
302,2016,Scott Darling,FA,32,18,5,5,2.4,67,877,810,0.924,2,1689
303,2016,Roberto Luongo,FA,40,17,15,6,2.7,104,1217,1113,0.915,1,2327
304,2016,Antti Raanta,ARI,30,16,8,2,2.3,61,782,721,0.922,4,1617
305,2016,Calvin Pickard,DET,50,15,31,2,3.0,140,1461,1321,0.904,2,2820
306,2016,Philipp Grubauer,COL,24,13,6,2,2.1,43,585,542,0.9259999999999999,3,1265
307,2016,Carter Hutton,BUF,30,13,8,2,2.4,58,663,605,0.9129999999999999,4,1459
308,2016,Jaroslav Halak,BOS,28,12,9,5,2.8,75,885,810,0.915,2,1605
309,2016,Antti Niemi,FA,37,12,12,4,3.3,95,880,785,0.892,0,1729
310,2016,Michal Neuvirth,FA,28,11,11,1,2.8,64,586,522,0.8909999999999999,0,1364
311,2016,Louis Domingue,VAN,31,11,15,1,3.1,82,888,806,0.9079999999999999,0,1599
312,2016,Aaron Dell,SJ,20,11,6,1,2.0,37,533,496,0.9309999999999999,1,1111
313,2016,Jacob Markstrom,VAN,26,10,11,3,2.6,62,692,630,0.91,0,1417
314,2016,Juuse Saros,NSH,21,10,8,3,2.4,47,614,567,0.9229999999999999,1,1200
315,2016,Jimmy Howard,DET,26,10,11,1,2.1,49,675,626,0.927,1,1397
316,2016,Anders Nilsson,OTT,26,10,10,4,2.7,66,857,791,0.9229999999999999,1,1484
317,2016,Michael Hutchinson,COL,28,9,12,3,2.9,67,690,623,0.903,1,1378
318,2016,Jonathan Quick,LA,17,8,5,2,2.3,35,421,386,0.917,2,931
319,2016,Keith Kinkaid,MON,26,8,13,3,2.7,65,778,713,0.9159999999999999,1,1476
320,2016,Curtis McElhinney,TB,21,8,8,2,2.7,51,616,565,0.917,1,1135
321,2016,Al Montoya,FA,19,8,6,4,2.7,50,569,519,0.912,2,1125
322,2016,Eddie Lack,FA,20,8,7,3,2.7,48,492,444,0.902,1,1090
323,2016,Darcy Kuemper,ARI,18,8,5,3,3.2,55,562,507,0.902,0,1053
324,2016,Joonas Korpisalo,CLS,14,7,5,1,2.9,38,401,363,0.905,1,791
325,2016,Anton Khudobin,DAL,16,7,6,1,2.7,39,405,366,0.904,0,885
326,2016,Semyon Varlamov,NYI,24,6,17,0,3.4,76,745,669,0.898,1,1348
327,2016,Jared Coreau,NYI,14,5,4,3,3.5,41,362,321,0.887,2,712
328,2016,Ondrej Pavelec,FA,8,4,4,0,3.6,26,233,207,0.888,0,440
329,2016,Laurent Brossoit,WPG,8,4,1,0,2.0,11,153,142,0.9279999999999999,0,332
330,2016,Jean-Francois Berube,NYR,14,3,2,2,3.5,30,271,241,0.889,0,527
331,2016,Anthony Stolarz,ANH,7,2,1,1,2.1,13,181,168,0.9279999999999999,1,376
332,2016,Michael Leighton,FA,4,2,2,0,3.4,12,92,80,0.87,0,210
333,2016,Charlie Lindgren,MON,2,2,0,0,1.5,3,59,56,0.9490000000000001,0,122
334,2016,Richard Bachman,VAN,5,2,3,0,2.7,13,162,149,0.92,0,295
335,2016,Jeff Zatkoff,FA,13,2,7,1,3.0,27,223,196,0.879,0,550
336,2016,Magnus Hellberg,FA,2,1,0,0,1.6,2,28,26,0.929,0,79
337,2016,Antoine Bibeau,COL,2,1,1,0,2.0,4,55,51,0.927,0,121
