,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Alex Burrows,FA,RW,70,18,15,33,0,68,145,3,4,4,1,0,73,33
Nicklas Backstrom,WAS,C,82,18,60,78,5,40,153,3,3,30,0,0,91,52
Kyle Okposo,BUF,RW,60,18,33,51,-8,12,195,2,6,12,0,0,53,23
Jeff Skinner,BUF,LW,77,18,13,31,-24,18,235,2,4,3,0,0,47,12
Mathieu Perreault,WPG,C,62,18,23,41,7,38,129,2,5,7,0,0,78,13
Dustin Byfuglien,FA,D,69,18,27,45,5,124,209,3,5,12,0,1,203,59
Nazem Kadri,COL,C,73,18,21,39,-7,28,176,1,3,4,1,0,118,23
Justin Williams,CAR,RW,81,18,23,41,8,29,174,2,4,9,0,0,29,24
Jason Pominville,FA,RW,82,18,36,54,9,8,252,4,3,11,0,0,44,32
Brayden Schenn,STL,C,82,18,29,47,-5,34,156,6,7,12,0,0,199,38
Chris Kunitz,FA,LW,74,17,23,40,2,56,170,5,9,7,1,0,211,29
Mark Arcobello,FA,RW,77,17,14,31,-10,20,129,2,1,3,0,1,111,27
Henrik Zetterberg,DET,LW,77,17,49,66,-6,32,227,3,4,24,0,0,55,26
Carl Hagelin,WAS,LW,82,17,18,35,18,46,185,4,1,0,0,1,85,36
Ryan Strome,NYR,C,81,17,33,50,23,47,179,2,1,7,1,0,92,21
Elias Lindholm,CGY,RW,81,17,22,39,-23,14,170,4,4,11,0,0,106,30
Kevin Hayes,PHI,C,79,17,28,45,15,22,111,1,1,4,1,0,57,33
Ryan O'Reilly,STL,C,82,17,38,55,-5,12,171,1,2,10,1,1,38,48
Jason Spezza,TOR,C,82,17,45,62,-7,28,204,1,4,22,0,0,16,26
David Perron,STL,RW,81,17,24,41,-25,62,196,2,3,6,0,0,171,21
Brent Burns,SJ,D,82,17,43,60,-9,65,245,2,7,17,0,0,148,124
Jaromir Jagr,FA,RW,77,17,30,47,-3,48,169,5,4,7,0,0,30,14
Steve Bernier,NYI,RW,67,16,16,32,2,28,107,2,4,4,0,0,123,47
Jannik Hansen,FA,RW,81,16,17,33,-6,27,145,2,0,0,1,2,80,30
Lance Bouma,LA,C,78,16,18,34,10,54,104,4,0,1,0,1,264,82
Joe Thornton,SJ,C,78,16,49,65,-4,30,131,0,4,18,0,0,39,26
Clarke MacArthur,OTT,LW,62,16,20,36,-6,36,140,5,6,4,0,0,70,17
Aleksander Barkov,FLA,C,71,16,20,36,-4,16,123,3,3,4,0,0,35,35
Adam Henrique,ANH,C,75,16,27,43,-6,34,127,3,5,11,0,1,59,44
Blake Comeau,DAL,LW,61,16,15,31,6,65,147,5,0,1,0,0,188,11
Anze Kopitar,LA,C,79,16,48,64,-2,10,134,4,6,18,0,0,105,46
Ondrej Palat,TB,LW,75,16,47,63,31,24,139,5,3,8,1,1,124,50
Patrick Sharp,FA,LW,68,16,27,43,-8,33,230,2,8,6,0,0,74,15
Paul Stastny,VGK,C,74,16,30,46,5,40,143,7,7,8,0,0,22,30
Derek Stepan,ARI,C,68,16,39,55,26,22,155,3,3,7,2,3,36,27
Trevor Daley,DET,D,68,16,22,38,-13,34,113,2,6,6,2,0,29,123
Sean Couturier,PHI,C,82,15,22,37,4,28,148,0,1,5,1,1,72,35
Mike Ribeiro,FA,C,82,15,47,62,11,52,96,3,1,11,0,0,42,19
Brian Boyle,FLA,C,82,15,9,24,3,54,140,5,0,0,3,0,136,68
