,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Niklas Hagman,FA,LW,71,11,16,27,-2,24,140,0,4,3,0,0,35,12
Jordan Staal,CAR,C,42,11,19,30,7,24,91,4,3,4,0,2,70,13
Brandon McMillan,FA,LW,60,11,10,21,-5,18,77,2,2,1,2,2,53,24
Andreas Nodl,FA,RW,67,11,11,22,14,16,100,2,1,0,1,0,111,25
Keith Yandle,FLA,D,82,11,48,59,12,68,199,0,3,23,0,1,30,103
Anton Babchuk,CGY,D,82,11,24,35,14,32,132,2,6,7,1,1,19,156
Joe Corvo,FA,D,82,11,29,40,-14,18,191,1,5,18,1,0,55,119
Manny Malhotra,FA,C,72,11,19,30,9,22,111,2,3,3,1,1,57,74
Andrew Cogliano,DAL,LW,82,11,24,35,-12,64,129,3,0,5,1,2,89,46
Ryan Shannon,FA,RW,79,11,16,27,3,24,118,1,5,4,1,0,34,35
Niklas Kronwall,FA,D,77,11,26,37,5,36,131,3,5,8,0,0,113,129
Tyler Seguin,DAL,C,74,11,11,22,-4,18,131,0,1,2,0,0,20,21
Alex Pietrangelo,STL,D,79,11,32,43,18,19,161,1,4,10,0,1,57,121
Kyle Turris,NSH,C,65,11,14,25,0,16,116,1,0,1,0,0,30,15
Erik Christensen,FA,C,63,11,16,27,3,18,86,1,4,3,0,0,34,11
Michael Frolik,BUF,LW,80,11,27,38,2,30,251,1,1,5,0,0,52,37
Mikael Backlund,CGY,C,73,10,15,25,4,18,144,1,2,2,0,1,35,19
Tim Jackman,FA,RW,82,10,13,23,4,86,131,1,1,2,0,0,133,21
James Wisniewski,FA,D,75,10,41,51,-14,38,158,2,7,22,0,0,108,119
Cam Fowler,ANH,D,76,10,30,40,-25,20,123,3,6,17,0,0,45,93
Jiri Hudler,FA,RW,73,10,27,37,-7,28,105,2,3,9,0,0,35,11
Steve Sullivan,NJ,LW,44,10,12,22,4,28,79,1,3,4,0,0,18,10
Steve Downie,ARI,RW,57,10,22,32,8,171,83,1,2,3,0,0,94,21
Eric Fehr,FA,RW,52,10,10,20,0,16,120,1,3,4,0,0,34,20
Dennis Wideman,FA,D,75,10,30,40,-19,39,160,1,9,13,0,0,95,126
Drew Miller,FA,LW,67,10,8,18,-2,13,85,2,0,0,1,0,84,58
Joel Ward,FA,RW,80,10,19,29,-1,42,157,4,5,0,0,1,67,57
Jason Chimera,FA,LW,81,10,16,26,-10,64,162,1,2,1,0,0,98,16
Ruslan Fedotenko,FA,LW,66,10,15,25,9,25,120,0,0,2,1,0,150,50
Derek Roy,FA,C,35,10,25,35,-1,16,89,1,2,12,0,0,16,16
Toby Enstrom,FA,D,72,10,41,51,-10,54,113,0,6,22,0,1,30,137
Tyler Myers,VAN,D,80,10,27,37,0,40,122,5,3,11,0,0,107,98
Shawn Thornton,FA,LW,79,10,10,20,8,122,151,2,0,0,0,0,141,18
Nate Thompson,PHI,C,79,10,15,25,-6,29,123,2,0,1,1,0,115,81
Brad Winchester,FA,LW,76,10,6,16,-18,114,90,1,3,1,0,0,171,18
Bobby Butler,FA,RW,36,10,11,21,-16,10,73,3,1,4,0,0,28,15
J.P. Dumont,FA,RW,70,10,9,19,2,16,89,2,1,3,0,0,45,8
Chris Thorburn,FA,RW,82,9,10,19,-4,77,114,0,2,1,0,0,129,71
Brett Clark,FA,D,82,9,22,31,2,14,87,1,6,11,0,0,117,157
Vinny Prospal,FA,LW,29,9,14,23,4,8,61,0,2,8,0,0,44,15
Derek MacKenzie,FA,C,63,9,14,23,14,22,76,1,0,1,1,1,159,26
Jannik Hansen,FA,RW,82,9,20,29,13,32,113,2,0,0,0,1,149,26
Michael Rupp,FA,RW,81,9,8,17,-4,124,81,1,0,1,0,0,181,17
Dan Boyle,FA,D,76,9,41,50,2,67,199,2,4,23,0,0,55,139
Chuck Kobasew,FA,RW,63,9,7,16,-6,19,74,1,0,0,0,0,31,20
Jeff Tambellini,FA,LW,62,9,8,17,10,18,114,0,1,3,0,0,113,21
Brent Seabrook,CHI,D,82,9,39,48,0,47,135,1,5,15,0,2,227,154
Marcel Goc,FA,C,51,9,15,24,10,6,111,2,0,0,1,0,51,13
Nick Palmieri,FA,RW,43,9,8,17,9,6,66,2,1,1,0,0,36,8
Eric Brewer,FA,D,76,9,7,16,6,81,110,1,0,0,0,0,145,120
Jamie Langenbrunner,FA,RW,70,9,23,32,-18,45,153,3,1,6,0,0,96,25
Torrey Mitchell,FA,C,66,9,14,23,10,46,116,1,0,0,0,0,57,27
Brendan Morrison,FA,C,66,9,34,43,13,16,89,1,3,9,1,1,22,18
Shawn Horcoff,FA,C,47,9,18,27,-1,46,78,1,5,5,0,1,32,20
Kevin Shattenkirk,TB,D,72,9,34,43,-4,36,108,2,3,12,0,0,66,96
Matt Hendricks,FA,LW,77,9,16,25,-2,110,113,3,1,1,0,0,169,38
Patrick Dwyer,FA,RW,80,8,10,18,-6,12,104,2,0,1,1,0,166,63
Mark Giordano,CGY,D,82,8,35,43,-8,67,165,1,5,20,0,0,140,193
Trevor Daley,DET,D,82,8,19,27,7,34,131,1,2,3,0,0,32,124
Kurtis Foster,PHI,D,74,8,14,22,-12,45,182,0,5,9,0,0,89,76
Cody Franson,FA,D,80,8,21,29,10,30,156,2,2,4,0,0,81,52
Alexander Edler,VAN,D,51,8,25,33,13,24,121,1,5,12,0,0,83,86
Jack Skille,FA,RW,62,8,11,19,-9,29,154,1,1,0,0,0,134,20
Tom Kostopoulos,FA,RW,76,8,10,18,-4,74,79,0,2,1,0,0,122,41
